X,Y
1199,1537
1198,1537
1198,1540
1197,1540
1197,1541
1196,1541
1196,1542
1195,1542
1195,1543
1193,1543
1193,1544
1191,1544
1191,1545
1190,1545
1190,1550
1188,1550
1188,1554
1187,1554
1187,1555
1186,1555
1186,1556
1185,1556
1185,1557
1184,1557
1184,1558
1183,1558
1183,1559
1179,1559
1179,1563
1175,1563
1175,1562
1174,1562
1174,1563
1173,1563
1173,1566
1168,1566
1168,1565
1167,1565
1167,1571
1166,1571
1166,1570
1164,1570
1164,1572
1165,1572
1165,1573
1166,1573
1166,1572
1168,1572
1168,1574
1169,1574
1169,1575
1170,1575
1170,1576
1169,1576
1169,1577
1168,1577
1168,1579
1166,1579
1166,1580
1165,1580
1165,1581
1166,1581
1166,1584
1165,1584
1165,1585
1162,1585
1162,1586
1161,1586
1161,1588
1160,1588
1160,1589
1159,1589
1159,1590
1158,1590
1158,1591
1159,1591
1159,1594
1158,1594
1158,1595
1157,1595
1157,1597
1158,1597
1158,1598
1159,1598
1159,1599
1160,1599
1160,1602
1157,1602
1157,1601
1156,1601
1156,1603
1157,1603
1157,1605
1158,1605
1158,1606
1160,1606
1160,1608
1157,1608
1157,1607
1156,1607
1156,1606
1153,1606
1153,1608
1155,1608
1155,1609
1156,1609
1156,1610
1155,1610
1155,1611
1153,1611
1153,1612
1149,1612
1149,1614
1145,1614
1145,1615
1144,1615
1144,1616
1142,1616
1142,1615
1141,1615
1141,1613
1139,1613
1139,1604
1140,1604
1140,1602
1141,1602
1141,1600
1140,1600
1140,1599
1137,1599
1137,1600
1134,1600
1134,1602
1133,1602
1133,1603
1134,1603
1134,1604
1136,1604
1136,1608
1135,1608
1135,1610
1134,1610
1134,1613
1136,1613
1136,1614
1137,1614
1137,1613
1139,1613
1139,1614
1138,1614
1138,1615
1137,1615
1137,1616
1136,1616
1136,1618
1135,1618
1135,1620
1134,1620
1134,1621
1133,1621
1133,1619
1134,1619
1134,1615
1133,1615
1133,1614
1132,1614
1132,1612
1130,1612
1130,1613
1129,1613
1129,1614
1127,1614
1127,1615
1126,1615
1126,1616
1124,1616
1124,1617
