X,Y
641,1536
640,1536
640,1535
639,1535
639,1534
638,1534
638,1533
637,1533
637,1532
635,1532
635,1531
634,1531
634,1530
632,1530
632,1529
631,1529
631,1528
630,1528
630,1527
628,1527
628,1526
627,1526
627,1525
626,1525
626,1524
625,1524
625,1523
623,1523
623,1522
621,1522
621,1521
620,1521
620,1520
619,1520
619,1519
617,1519
617,1518
616,1518
616,1517
614,1517
614,1516
613,1516
613,1515
612,1515
612,1514
610,1514
610,1513
609,1513
609,1512
608,1512
608,1511
606,1511
606,1510
605,1510
605,1509
604,1509
604,1508
602,1508
602,1507
601,1507
601,1506
600,1506
600,1505
598,1505
598,1503
596,1503
596,1502
595,1502
595,1501
594,1501
594,1500
593,1500
593,1499
592,1499
592,1498
591,1498
591,1497
590,1497
590,1496
589,1496
589,1495
588,1495
588,1494
587,1494
587,1493
586,1493
586,1492
585,1492
585,1491
584,1491
584,1490
582,1490
582,1489
581,1489
581,1488
580,1488
580,1487
579,1487
579,1486
578,1486
578,1484
577,1484
577,1482
576,1482
576,1480
575,1480
575,1464
576,1464
576,1462
577,1462
577,1460
578,1460
578,1459
579,1459
579,1458
580,1458
580,1457
582,1457
582,1456
584,1456
584,1455
586,1455
586,1454
587,1454
587,1453
591,1453
591,1451
594,1451
594,1452
601,1452
601,1451
602,1451
602,1449
603,1449
603,1448
606,1448
606,1447
611,1447
611,1446
615,1446
615,1445
617,1445
617,1446
621,1446
621,1445
635,1445
635,1446
644,1446
644,1447
653,1447
653,1448
664,1448
664,1449
674,1449
674,1450
685,1450
685,1451
692,1451
692,1452
701,1452
701,1453
702,1453
702,1454
701,1454
701,1455
700,1455
700,1456
696,1456
696,1457
701,1457
701,1456
702,1456
702,1455
705,1455
705,1456
704,1456
704,1457
708,1457
708,1458
710,1458
710,1459
708,1459
708,1461
711,1461
711,1462
717,1462
717,1461
718,1461
718,1460
721,1460
721,1456
720,1456
720,1455
725,1455
725,1457
728,1457
728,1458
733,1458
733,1459
734,1459
734,1460
737,1460
737,1461
740,1461
740,1462
741,1462
741,1464
740,1464
740,1466
741,1466
741,1469
743,1469
743,1470
744,1470
744,1465
746,1465
746,1469
745,1469
745,1471
749,1471
749,1472
755,1472
755,1473
757,1473
757,1472
760,1472
760,1473
763,1473
763,1472
766,1472
766,1474
767,1474
767,1475
768,1475
768,1476
770,1476
770,1475
776,1475
776,1474
778,1474
778,1473
780,1473
780,1474
781,1474
781,1475
782,1475
782,1477
785,1477
785,1476
786,1476
786,1475
788,1475
788,1476
790,1476
790,1478
789,1478
789,1480
788,1480
788,1483
787,1483
787,1484
788,1484
788,1489
787,1489
787,1491
790,1491
790,1489
792,1489
792,1490
796,1490
796,1489
797,1489
797,1488
799,1488
799,1487
801,1487
801,1486
806,1486
806,1485
805,1485
805,1484
803,1484
803,1479
805,1479
805,1478
806,1478
806,1476
807,1476
807,1475
808,1475
808,1476
809,1476
809,1475
810,1475
810,1473
808,1473
808,1472
807,1472
807,1470
809,1470
809,1471
812,1471
812,1472
811,1472
811,1474
812,1474
812,1476
813,1476
813,1477
816,1477
816,1476
814,1476
814,1473
815,1473
815,1472
816,1472
816,1470
817,1470
817,1469
820,1469
820,1470
821,1470
821,1472
819,1472
819,1473
818,1473
818,1475
819,1475
819,1474
821,1474
821,1475
822,1475
822,1477
821,1477
821,1478
819,1478
819,1480
821,1480
821,1484
822,1484
822,1485
823,1485
823,1487
824,1487
824,1488
823,1488
823,1490
821,1490
821,1492
822,1492
822,1493
823,1493
823,1496
822,1496
822,1497
824,1497
824,1494
826,1494
826,1495
827,1495
827,1493
828,1493
828,1487
829,1487
829,1486
832,1486
832,1485
833,1485
833,1486
834,1486
834,1485
835,1485
835,1482
836,1482
836,1481
840,1481
840,1480
837,1480
837,1479
838,1479
838,1478
840,1478
840,1476
843,1476
843,1477
845,1477
845,1480
848,1480
848,1477
850,1477
850,1476
852,1476
852,1472
850,1472
850,1470
849,1470
849,1469
848,1469
848,1465
847,1465
847,1464
846,1464
846,1463
847,1463
847,1462
848,1462
848,1461
852,1461
852,1462
857,1462
857,1464
860,1464
860,1466
861,1466
861,1469
860,1469
860,1470
862,1470
862,1468
863,1468
863,1467
864,1467
864,1469
865,1469
865,1470
866,1470
866,1469
867,1469
867,1466
869,1466
869,1467
870,1467
870,1470
869,1470
869,1472
871,1472
871,1471
872,1471
872,1472
871,1472
871,1476
872,1476
872,1479
871,1479
871,1480
870,1480
870,1481
874,1481
874,1482
880,1482
880,1481
888,1481
888,1480
887,1480
887,1478
888,1478
888,1477
890,1477
890,1475
891,1475
891,1474
896,1474
896,1476
895,1476
895,1477
894,1477
894,1479
896,1479
896,1478
899,1478
899,1479
904,1479
904,1485
905,1485
905,1486
906,1486
906,1488
905,1488
905,1490
904,1490
904,1491
901,1491
901,1492
899,1492
899,1496
903,1496
903,1495
907,1495
907,1494
908,1494
908,1493
910,1493
910,1496
911,1496
911,1501
912,1501
912,1498
915,1498
915,1499
918,1499
918,1500
928,1500
928,1496
920,1496
920,1495
923,1495
923,1494
924,1494
924,1493
926,1493
926,1492
927,1492
927,1491
926,1491
926,1490
925,1490
925,1489
924,1489
924,1488
923,1488
923,1485
922,1485
922,1482
921,1482
921,1480
920,1480
920,1481
919,1481
919,1480
917,1480
917,1479
916,1479
916,1478
915,1478
915,1477
917,1477
917,1475
911,1475
911,1474
910,1474
910,1470
909,1470
909,1469
907,1469
907,1467
906,1467
906,1466
911,1466
911,1467
912,1467
912,1468
914,1468
914,1467
920,1467
920,1468
921,1468
921,1469
922,1469
922,1470
923,1470
923,1471
928,1471
928,1470
932,1470
932,1472
933,1472
933,1475
934,1475
934,1476
935,1476
935,1477
936,1477
936,1479
937,1479
937,1478
939,1478
939,1477
941,1477
941,1478
943,1478
943,1479
944,1479
944,1480
939,1480
939,1481
940,1481
940,1482
942,1482
942,1481
944,1481
944,1483
945,1483
945,1484
946,1484
946,1486
948,1486
948,1487
950,1487
950,1488
951,1488
951,1489
952,1489
952,1485
953,1485
953,1484
954,1484
954,1482
953,1482
953,1481
952,1481
952,1480
958,1480
958,1478
955,1478
955,1477
952,1477
952,1478
951,1478
951,1477
950,1477
950,1475
947,1475
947,1474
944,1474
944,1473
943,1473
943,1474
941,1474
941,1475
939,1475
939,1474
937,1474
937,1473
936,1473
936,1471
934,1471
934,1470
933,1470
933,1468
932,1468
932,1466
935,1466
935,1464
936,1464
936,1463
942,1463
942,1464
944,1464
944,1465
948,1465
948,1466
953,1466
953,1467
956,1467
956,1468
959,1468
959,1469
960,1469
960,1468
961,1468
961,1469
962,1469
962,1470
963,1470
963,1472
964,1472
964,1470
965,1470
965,1469
966,1469
966,1468
967,1468
967,1467
968,1467
968,1470
970,1470
970,1471
971,1471
971,1473
972,1473
972,1474
977,1474
977,1472
979,1472
979,1470
982,1470
982,1465
985,1465
985,1464
984,1464
984,1463
989,1463
989,1462
1000,1462
1000,1463
995,1463
995,1464
997,1464
997,1465
1002,1465
1002,1464
1003,1464
1003,1463
1005,1463
1005,1462
1007,1462
1007,1461
1008,1461
1008,1462
1013,1462
1013,1463
1019,1463
1019,1462
1018,1462
1018,1460
1022,1460
1022,1462
1023,1462
1023,1463
1028,1463
1028,1464
1030,1464
1030,1468
1027,1468
1027,1469
1026,1469
1026,1470
1029,1470
1029,1469
1031,1469
1031,1468
1032,1468
1032,1470
1033,1470
1033,1471
1034,1471
1034,1470
1035,1470
1035,1469
1033,1469
1033,1467
1034,1467
1034,1464
1033,1464
1033,1461
1034,1461
1034,1462
1035,1462
1035,1467
1036,1467
1036,1469
1037,1469
1037,1470
1039,1470
1039,1471
1040,1471
1040,1472
1041,1472
1041,1474
1042,1474
1042,1478
1044,1478
1044,1480
1046,1480
1046,1477
1047,1477
1047,1479
1048,1479
1048,1478
1050,1478
1050,1475
1053,1475
1053,1473
1051,1473
1051,1472
1052,1472
1052,1471
1054,1471
1054,1470
1056,1470
1056,1471
1058,1471
1058,1473
1062,1473
1062,1474
1063,1474
1063,1475
1066,1475
1066,1474
1068,1474
1068,1473
1069,1473
1069,1472
1068,1472
1068,1470
1077,1470
1077,1471
1078,1471
1078,1472
1079,1472
1079,1473
1080,1473
1080,1471
1081,1471
1081,1470
1084,1470
1084,1471
1085,1471
1085,1472
1088,1472
1088,1471
1093,1471
1093,1470
1095,1470
1095,1469
1098,1469
1098,1470
1099,1470
1099,1469
1102,1469
1102,1468
1104,1468
1104,1466
1101,1466
1101,1465
1100,1465
1100,1464
1103,1464
1103,1463
1101,1463
1101,1462
1098,1462
1098,1461
1099,1461
1099,1460
